4468 4279 6838 4472 149490 107588 104681 96763 144806 147767 79563 63869 60657 104258 58875 149326 144475 76626 10668 113989
1717 354 1749 5105 31029 149272 38092 32135 27632 83801 108058 138973 102608 44217 145411 92096 23044 119386 20581 26518
5785 5204 6599 6857 65485 22251 100084 96343 22666 141187 106062 87532 100170 32600 61835 29753 27711 27833 39832 26414
6054 5540 6594 6979 63211 21321 31439 135899 136547 141031 140793 153340 42527 109461 121885 150631 80989 20276 19465 135979
1003 4340 5762 3772 57971 115706 51312 149627 97636 31303 20199 62961 66085 147541 148429 147564 25183 68996 21085 51786
1951 434 1950 6376 93680 136324 95365 33524 53549 101622 35213 43874 146807 151945 8996 121859 50696 47367 46584 113495
555 2291 4788 2290 25313 32171 58186 92876 7989 78769 22153 12700 52430 129598 122288 92406 27892 151794 75224 108439
5390 652 6045 7060 147257 125259 53758 21502 14094 51834 108387 66543 59764 100702 128581 134356 102690 155948 137076 43792
5046 5495 5499 5962 100894 140546 144595 72945 38158 44782 84615 121122 88473 14400 83639 149445 130798 151447 153958 102833
5210 5094 5371 6848 25131 137148 111588 117586 135182 81859 142260 117417 75572 125682 36647 58083 85900 61471 124751 60180
1380 1379 1383 6573 84407 139522 102900 21933 90518 20189 103370 135208 22571 124301 75156 49237 153896 137974 71241 88968
385 1795 5777 6806 88733 39072 136024 52582 61543 138322 113964 22770 39397 97295 74903 91962 46765 79783 37012 83680
5199 4847 5701 5922 96929 33465 79372 56609 62474 9753 56080 113877 151863 97380 50674 85416 35834 149575 46532 30105
2954 2942 5663 2955 124316 54579 32055 109119 152664 13337 53430 70382 115455 42314 94885 62272 148640 68120 109094 16922
4888 4889 5200 5932 116468 32295 137346 68701 25134 64911 37184 43649 139697 145599 79513 104247 30252 8081 44047 64649
1944 1935 6301 1946 73263 17010 82529 154691 65341 155595 64874 60804 20993 127279 14698 77052 52338 75007 49327 124305
2237 2213 532 5643 123974 155537 42483 77141 132875 123949 33930 43329 84679 152170 96441 96511 120037 146350 55824 123043
5462 5787 6753 6993 85740 107902 27456 93937 146040 31025 146667 25940 12581 143903 11523 138571 85964 129279 34800 125061
4657 1222 6683 6895 119561 26924 82656 71271 142836 115677 46612 108420 59750 155450 120939 66351 41206 54948 25846 138138
3990 3981 3521 6546 151094 139172 59762 102279 89065 28090 69397 52939 134807 45071 54602 90507 82735 22160 63499 121317
2672 2671 6891 7134 32483 150080 124896 141175 35453 56852 148225 132691 146959 43831 147191 97540 53221 66805 9482 101751
4800 5067 5606 5767 64214 13091 62562 45797 139343 149440 128293 97805 37769 25468 153904 150290 12943 23027 150348 148737
1764 365 1763 5902 41408 102468 136837 25629 25161 46417 22900 16735 54927 90654 18314 35396 35157 68334 7318 102446
3636 5794 3877 3879 9283 142213 19001 96282 25865 7341 79266 49226 53603 64135 66318 11160 98055 115695 76784 94030
5280 5441 6083 6513 113673 62729 51478 110489 39307 29018 29959 19425 46560 7636 101915 73300 84570 94811 58371 34050
5034 1665 5300 4397 68713 109717 60640 25179 20511 22421 89683 73091 21812 32983 126573 85621 94249 112609 143190 134854
3892 302 5242 1611 53713 33810 129457 41642 144705 145270 126226 62861 75923 8511 44599 118180 133542 17842 147390 72609
3833 4147 7113 4148 8114 38988 54899 75949 152510 32143 97971 83093 138536 142982 51874 32585 135892 114371 68340 115470
6684 6110 6744 6848 142237 91645 73347 81520 143486 39170 25610 31120 119492 101135 27626 129732 44529 152204 123374 31197
3670 3735 5839 6584 19418 154344 47002 101398 43805 60567 64134 14177 14011 81427 97166 72269 136713 87920 94751 14481
4631 1212 6474 4630 108534 102637 37395 88507 60047 115986 145013 22490 78140 45704 95975 26452 58977 61328 90846 20226
2258 5120 5150 5737 66392 52315 89946 27305 54892 88750 86827 18745 24590 131784 94295 38934 38838 24344 151830 26367
1191 4517 5371 5786 29862 125173 35959 65428 22918 15534 56618 68346 60231 56481 112516 134784 95160 76433 99329 123378
5016 5275 933 6155 86564 53230 38253 68774 76212 126874 49840 95327 61833 68356 148369 57718 58469 114293 121529 137434
6869 6382 6872 6942 102892 8914 59225 85304 77156 41886 146743 145712 72065 111669 147746 56830 19169 152203 62410 72170
6202 4935 6594 6634 24607 77516 91644 119686 17059 19492 106017 10706 85286 84114 38836 121037 26559 81949 20248 21962
598 2414 5910 2413 93264 123496 65990 119032 117089 16746 17332 41937 20785 110576 81498 148965 133552 44350 45518 19407
1802 1822 392 5347 123150 56310 59005 53421 154401 14355 25859 101328 107074 29730 65372 57362 134964 20810 32815 117728
4217 1124 6170 6605 114768 27879 92588 20741 20254 145540 110615 14001 50536 55091 139904 58543 51287 125982 91015 111195
3639 3912 985 6204 31160 52106 81535 28329 62363 139838 99106 53414 20058 35139 66346 95323 122430 143709 102490 153410
3625 981 3622 6460 112110 95911 81917 129219 147765 138291 121694 56365 89214 134834 145413 8759 65847 139051 64619 92344
713 6036 2768 5894 139097 155124 48582 97827 87694 112070 124372 64989 154153 138965 9025 52103 125232 109982 17977 117917
1945 1949 1938 6301 125418 47954 67347 133848 81416 46434 138582 81860 81715 31352 7415 20756 95673 90496 98483 124939
2400 2403 597 5614 19356 28540 128006 125134 42122 128849 69546 122420 83559 36040 148269 55925 154962 30511 120989 62768
5386 5095 5774 6391 52286 128481 98571 97410 63783 27244 65767 100968 87912 66548 97234 92401 48629 60395 100250 146634
4835 5329 6042 6208 88837 37674 69378 50003 10630 51106 45087 51553 86340 142168 63475 68798 9112 90340 64022 130959
5995 1595 6019 6926 38274 13413 42429 76715 70718 84231 8467 134078 29885 13890 148052 126514 103970 149046 73286 77040
5771 3708 6176 6911 130023 70189 109932 84359 65206 57526 147523 27138 50326 86908 128049 58106 34363 109504 139727 98717
4829 4830 5268 5400 97508 101885 51242 54808 136459 43290 141558 94783 134621 31064 106463 73600 120938 146581 95851 31589
6194 5428 6585 6633 130327 102161 77210 39925 140959 133550 8049 68773 89064 41761 15384 113098 39023 66956 113618 96203
3119 3122 835 6462 128493 80007 35003 26317 134458 112239 35822 74810 97151 26494 126826 59921 20592 63465 136416 80304
5995 5472 6150 6579 140492 73503 28400 11947 137139 37501 63410 87890 122563 47792 17141 18815 11271 12303 38915 74210
4256 6015 6170 7092 140948 129660 106738 108024 71757 125592 86749 148758 80833 106885 124181 149818 103385 84416 123292 105698
5329 5460 5929 6030 150416 152788 138409 112158 57681 53995 36681 37053 151831 81219 128149 7246 131480 139890 55806 97902
106 4114 5892 6262 49294 42309 47721 79571 108247 101022 20146 108325 64524 20338 77195 120090 78283 124995 43203 41703
2226 2227 5999 2229 93952 18448 131380 123721 110145 35786 109293 120055 26266 117629 30943 154275 135224 144552 67952 105687
5655 5318 7196 7228 14915 141668 32109 31331 135757 91266 68107 34447 143116 138267 107477 9880 87852 51793 29756 85374
5855 1590 1591 6897 53011 90597 42295 18813 51683 81511 53523 107331 24856 117394 18056 73695 88653 71938 62872 50963
4426 1161 6802 7067 49859 115348 100647 106605 86659 33328 29471 113804 77006 99393 67025 135054 18738 8888 77650 54392
5403 1317 6275 7029 152924 44525 101609 137916 101297 83303 41874 86544 97821 49588 106311 129918 126052 91653 50485 148516
1088 3998 3999 6734 126975 49498 21729 98729 114856 90548 111749 135037 19842 78349 84399 122730 120416 112142 133568 65177
4956 4957 5480 7003 33279 27870 85719 57835 39118 102095 59772 34805 13302 99544 55218 26226 25168 55798 14267 67049
2428 6992 5930 601 116410 108151 84999 108001 129944 114269 149599 91566 73815 136483 10423 129765 142774 101162 154121 122899
1369 1366 6405 6769 110423 30385 116234 143757 55973 85298 62986 41356 112890 19035 13212 90764 74340 86221 55890 79937
2677 2726 2723 6178 139640 130434 126175 101474 124198 42230 48574 61325 61838 59404 127477 153884 119944 61512 68523 55333
3651 3653 5763 6041 27755 86513 101520 120899 41771 123999 63716 92946 28916 128062 116349 33971 130721 117939 57713 20935
1770 1829 6077 372 96840 40476 128253 99054 146685 72973 147759 71258 38599 89081 54047 84026 122328 79286 152802 35565
523 2200 5404 6420 71891 113501 23697 110113 148503 80087 50392 67756 121821 74483 21698 151121 83955 69927 39975 140933
5878 6012 6231 7105 140326 85105 132664 142333 122971 147250 111838 141188 117364 140319 60312 11031 114615 62464 93789 79219
5239 5158 6001 6778 85284 39120 131871 120846 13193 115429 42793 51032 151233 155759 142351 98799 9477 117962 121443 64795
3763 1030 3767 5524 54911 123608 20745 135966 134384 49594 95057 35100 129854 149622 50695 153565 74045 18948 63775 30230
4573 4774 5706 6823 98120 51582 33649 77004 25067 108996 146324 11496 125120 151685 35665 69783 59430 22940 96458 116750
3023 799 3022 6758 145938 92944 41421 62630 113590 41290 17319 44166 136936 116453 71958 50915 64287 110574 86086 130974
4059 5771 6402 6911 95572 61586 55670 121594 94887 84883 96469 137563 103171 27138 19007 34681 93318 97208 109504 130451
4720 1233 7034 7090 75919 85410 44948 16994 92882 30176 68239 101627 66221 149708 136986 17067 91825 91534 19637 106522
3482 2274 5141 6834 17960 47602 41704 109158 103290 95074 126048 12120 116579 72985 77556 9645 120239 109081 140026 15088
2235 2234 6223 7157 95512 41381 23777 124683 106735 23894 11741 88455 114592 22455 41660 151948 153708 76397 64772 141685
4968 4967 5253 5972 129236 72038 65230 110385 36146 17304 76506 51831 60321 114841 99683 155228 38828 46306 106870 28209
3720 1023 5519 5535 101020 26628 27844 123747 34896 124389 94208 50692 45059 57807 65072 145302 7324 50087 57872 95862
4333 1060 3864 6593 7716 127797 31386 15677 133865 35104 18086 155706 14297 109844 152969 69072 36006 92680 74717 98843
5698 5314 6825 6848 78156 141828 88008 18260 133244 120913 103902 147343 95360 43641 134616 150927 23100 33713 16878 25462
